=== UDP可靠传输运行日志 ===
[2026-06-13 12:16:03.405] [CLIENT] 发送第11个数据包，字节范围：800~879
[2026-06-13 12:16:03.405] [CLIENT] 收到确认报文，确认号：560，服务器时间：12-16-02
[2026-06-13 12:16:03.406] [CLIENT] 确认第7个数据包，RTT=23.91ms
[2026-06-13 12:16:03.407] [CLIENT] 窗口滑动，新的窗口起始位置：560
[2026-06-13 12:16:03.407] [CLIENT] 发送第12个数据包，字节范围：880~959
[2026-06-13 12:16:03.408] [CLIENT] 收到确认报文，确认号：560，服务器时间：12-16-02
[2026-06-13 12:16:03.408] [CLIENT] 收到确认报文，确认号：560，服务器时间：12-16-02
[2026-06-13 12:16:03.409] [CLIENT] 收到确认报文，确认号：560，服务器时间：12-16-02
[2026-06-13 12:16:03.409] [CLIENT] 收到确认报文，确认号：560，服务器时间：12-16-02
[2026-06-13 12:16:03.713] [CLIENT] 超时事件发生，开始重传
[2026-06-13 12:16:03.714] [CLIENT] 重传第8个数据包，字节范围：560~639
[2026-06-13 12:16:03.715] [CLIENT] 重传第9个数据包，字节范围：640~719
[2026-06-13 12:16:03.716] [CLIENT] 重传第10个数据包，字节范围：720~799
[2026-06-13 12:16:03.716] [CLIENT] 重传第11个数据包，字节范围：800~879
[2026-06-13 12:16:03.718] [CLIENT] 重传第12个数据包，字节范围：880~959
[2026-06-13 12:16:03.718] [CLIENT] 收到确认报文，确认号：640，服务器时间：12-16-02
[2026-06-13 12:16:03.719] [CLIENT] 确认第8个数据包，RTT=4.71ms
[2026-06-13 12:16:03.720] [CLIENT] 窗口滑动，新的窗口起始位置：640
[2026-06-13 12:16:03.720] [CLIENT] 发送第13个数据包，字节范围：960~1039
[2026-06-13 12:16:03.721] [CLIENT] 收到确认报文，确认号：720，服务器时间：12-16-02
[2026-06-13 12:16:03.722] [CLIENT] 确认第9个数据包，RTT=6.37ms
[2026-06-13 12:16:03.722] [CLIENT] 窗口滑动，新的窗口起始位置：720
[2026-06-13 12:16:03.723] [CLIENT] 发送第14个数据包，字节范围：1040~1119
[2026-06-13 12:16:03.724] [CLIENT] 收到确认报文，确认号：800，服务器时间：12-16-02
[2026-06-13 12:16:03.724] [CLIENT] 确认第10个数据包，RTT=8.45ms
[2026-06-13 12:16:03.725] [CLIENT] 窗口滑动，新的窗口起始位置：800
[2026-06-13 12:16:03.726] [CLIENT] 发送第15个数据包，字节范围：1120~1199
[2026-06-13 12:16:03.726] [CLIENT] 收到确认报文，确认号：880，服务器时间：12-16-02
[2026-06-13 12:16:03.727] [CLIENT] 确认第11个数据包，RTT=10.01ms
[2026-06-13 12:16:03.727] [CLIENT] 窗口滑动，新的窗口起始位置：880
[2026-06-13 12:16:03.728] [CLIENT] 发送第16个数据包，字节范围：1200~1279
[2026-06-13 12:16:03.728] [CLIENT] 收到确认报文，确认号：960，服务器时间：12-16-02
[2026-06-13 12:16:03.729] [CLIENT] 确认第12个数据包，RTT=11.49ms
[2026-06-13 12:16:03.730] [CLIENT] 窗口滑动，新的窗口起始位置：960
[2026-06-13 12:16:03.730] [CLIENT] 发送第17个数据包，字节范围：1280~1359
[2026-06-13 12:16:03.731] [CLIENT] 收到确认报文，确认号：960，服务器时间：12-16-02
[2026-06-13 12:16:03.732] [CLIENT] 收到确认报文，确认号：960，服务器时间：12-16-02
[2026-06-13 12:16:03.732] [CLIENT] 收到确认报文，确认号：960，服务器时间：12-16-02
[2026-06-13 12:16:04.038] [CLIENT] 超时事件发生，开始重传
[2026-06-13 12:16:04.057] [CLIENT] 重传第13个数据包，字节范围：960~1039
[2026-06-13 12:16:04.068] [CLIENT] 重传第14个数据包，字节范围：1040~1119
[2026-06-13 12:16:04.069] [CLIENT] 重传第15个数据包，字节范围：1120~1199
[2026-06-13 12:16:04.084] [CLIENT] 重传第16个数据包，字节范围：1200~1279
[2026-06-13 12:16:04.088] [CLIENT] 重传第17个数据包，字节范围：1280~1359
[2026-06-13 12:16:04.089] [CLIENT] 收到确认报文，确认号：1040，服务器时间：12-16-02
[2026-06-13 12:16:04.099] [CLIENT] 确认第13个数据包，RTT=49.78ms
[2026-06-13 12:16:04.100] [CLIENT] 窗口滑动，新的窗口起始位置：1040
[2026-06-13 12:16:04.102] [CLIENT] 发送第18个数据包，字节范围：1360~1439
[2026-06-13 12:16:04.102] [CLIENT] 收到确认报文，确认号：1040，服务器时间：12-16-02
[2026-06-13 12:16:04.103] [CLIENT] 收到确认报文，确认号：1040，服务器时间：12-16-02
[2026-06-13 12:16:04.104] [CLIENT] 收到确认报文，确认号：1040，服务器时间：12-16-02
[2026-06-13 12:16:04.410] [CLIENT] 超时事件发生，开始重传
[2026-06-13 12:16:04.413] [CLIENT] 重传第14个数据包，字节范围：1040~1119
[2026-06-13 12:16:04.414] [CLIENT] 重传第15个数据包，字节范围：1120~1199
[2026-06-13 12:16:04.415] [CLIENT] 重传第16个数据包，字节范围：1200~1279
[2026-06-13 12:16:04.416] [CLIENT] 重传第17个数据包，字节范围：1280~1359
[2026-06-13 12:16:04.417] [CLIENT] 重传第18个数据包，字节范围：1360~1439
[2026-06-13 12:16:04.418] [CLIENT] 收到确认报文，确认号：1120，服务器时间：12-16-03
[2026-06-13 12:16:04.420] [CLIENT] 确认第14个数据包，RTT=6.23ms
[2026-06-13 12:16:04.421] [CLIENT] 窗口滑动，新的窗口起始位置：1120
[2026-06-13 12:16:04.422] [CLIENT] 发送第19个数据包，字节范围：1440~1519
[2026-06-13 12:16:04.422] [CLIENT] 收到确认报文，确认号：1200，服务器时间：12-16-03
[2026-06-13 12:16:04.423] [CLIENT] 确认第15个数据包，RTT=8.54ms
[2026-06-13 12:16:04.424] [CLIENT] 窗口滑动，新的窗口起始位置：1200
[2026-06-13 12:16:04.426] [CLIENT] 发送第20个数据包，字节范围：1520~1599
[2026-06-13 12:16:04.427] [CLIENT] 收到确认报文，确认号：1280，服务器时间：12-16-03
[2026-06-13 12:16:04.429] [CLIENT] 确认第16个数据包，RTT=11.90ms
[2026-06-13 12:16:04.430] [CLIENT] 窗口滑动，新的窗口起始位置：1280
[2026-06-13 12:16:04.431] [CLIENT] 发送第21个数据包，字节范围：1600~1679
[2026-06-13 12:16:04.431] [CLIENT] 收到确认报文，确认号：1360，服务器时间：12-16-03
[2026-06-13 12:16:04.432] [CLIENT] 确认第17个数据包，RTT=15.81ms
[2026-06-13 12:16:04.433] [CLIENT] 窗口滑动，新的窗口起始位置：1360
[2026-06-13 12:16:04.435] [CLIENT] 发送第22个数据包，字节范围：1680~1759
[2026-06-13 12:16:04.436] [CLIENT] 收到确认报文，确认号：1440，服务器时间：12-16-03
[2026-06-13 12:16:04.436] [CLIENT] 确认第18个数据包，RTT=19.18ms
[2026-06-13 12:16:04.437] [CLIENT] 窗口滑动，新的窗口起始位置：1440
[2026-06-13 12:16:04.438] [CLIENT] 发送第23个数据包，字节范围：1760~1839
[2026-06-13 12:16:04.438] [CLIENT] 收到确认报文，确认号：1520，服务器时间：12-16-03
[2026-06-13 12:16:04.439] [CLIENT] 确认第19个数据包，RTT=16.43ms
[2026-06-13 12:16:04.439] [CLIENT] 窗口滑动，新的窗口起始位置：1520
[2026-06-13 12:16:04.440] [CLIENT] 发送第24个数据包，字节范围：1840~1919
[2026-06-13 12:16:04.441] [CLIENT] 收到确认报文，确认号：1520，服务器时间：12-16-03
[2026-06-13 12:16:04.441] [CLIENT] 收到确认报文，确认号：1520，服务器时间：12-16-03
[2026-06-13 12:16:04.442] [CLIENT] 收到确认报文，确认号：1520，服务器时间：12-16-03
[2026-06-13 12:16:04.442] [CLIENT] 收到确认报文，确认号：1520，服务器时间：12-16-03
[2026-06-13 12:16:04.754] [CLIENT] 超时事件发生，开始重传
[2026-06-13 12:16:04.756] [CLIENT] 重传第20个数据包，字节范围：1520~1599
[2026-06-13 12:16:04.757] [CLIENT] 重传第21个数据包，字节范围：1600~1679
[2026-06-13 12:16:04.758] [CLIENT] 重传第22个数据包，字节范围：1680~1759
[2026-06-13 12:16:04.759] [CLIENT] 重传第23个数据包，字节范围：1760~1839
[2026-06-13 12:16:04.760] [CLIENT] 重传第24个数据包，字节范围：1840~1919
[2026-06-13 12:16:04.760] [CLIENT] 收到确认报文，确认号：1600，服务器时间：12-16-03
[2026-06-13 12:16:04.761] [CLIENT] 确认第20个数据包，RTT=4.73ms
[2026-06-13 12:16:04.761] [CLIENT] 窗口滑动，新的窗口起始位置：1600
[2026-06-13 12:16:04.762] [CLIENT] 发送第25个数据包，字节范围：1920~1999
[2026-06-13 12:16:04.762] [CLIENT] 收到确认报文，确认号：1680，服务器时间：12-16-03
[2026-06-13 12:16:04.763] [CLIENT] 确认第21个数据包，RTT=6.20ms
[2026-06-13 12:16:04.764] [CLIENT] 窗口滑动，新的窗口起始位置：1680
[2026-06-13 12:16:04.764] [CLIENT] 发送第26个数据包，字节范围：2000~2079
[2026-06-13 12:16:04.765] [CLIENT] 收到确认报文，确认号：1680，服务器时间：12-16-03
[2026-06-13 12:16:04.765] [CLIENT] 收到确认报文，确认号：1680，服务器时间：12-16-03
[2026-06-13 12:16:05.070] [CLIENT] 超时事件发生，开始重传
[2026-06-13 12:16:05.071] [CLIENT] 重传第22个数据包，字节范围：1680~1759
[2026-06-13 12:16:05.072] [CLIENT] 重传第23个数据包，字节范围：1760~1839
[2026-06-13 12:16:05.073] [CLIENT] 重传第24个数据包，字节范围：1840~1919
[2026-06-13 12:16:05.074] [CLIENT] 重传第25个数据包，字节范围：1920~1999
[2026-06-13 12:16:05.074] [CLIENT] 重传第26个数据包，字节范围：2000~2079
[2026-06-13 12:16:05.075] [CLIENT] 收到确认报文，确认号：1680，服务器时间：12-16-03
[2026-06-13 12:16:05.075] [CLIENT] 收到确认报文，确认号：1680，服务器时间：12-16-03
[2026-06-13 12:16:05.076] [CLIENT] 收到确认报文，确认号：1680，服务器时间：12-16-03
[2026-06-13 12:16:05.077] [CLIENT] 收到确认报文，确认号：1680，服务器时间：12-16-03
[2026-06-13 12:16:05.378] [CLIENT] 超时事件发生，开始重传
[2026-06-13 12:16:05.380] [CLIENT] 重传第22个数据包，字节范围：1680~1759
[2026-06-13 12:16:05.380] [CLIENT] 重传第23个数据包，字节范围：1760~1839
[2026-06-13 12:16:05.381] [CLIENT] 重传第24个数据包，字节范围：1840~1919
[2026-06-13 12:16:05.382] [CLIENT] 重传第25个数据包，字节范围：1920~1999
[2026-06-13 12:16:05.382] [CLIENT] 重传第26个数据包，字节范围：2000~2079
[2026-06-13 12:16:05.383] [CLIENT] 收到确认报文，确认号：1760，服务器时间：12-16-04
[2026-06-13 12:16:05.384] [CLIENT] 确认第22个数据包，RTT=3.34ms
[2026-06-13 12:16:05.384] [CLIENT] 窗口滑动，新的窗口起始位置：1760
[2026-06-13 12:16:05.385] [CLIENT] 发送第27个数据包，字节范围：2080~2159
[2026-06-13 12:16:05.386] [CLIENT] 收到确认报文，确认号：1760，服务器时间：12-16-04
[2026-06-13 12:16:05.386] [CLIENT] 收到确认报文，确认号：1760，服务器时间：12-16-04
[2026-06-13 12:16:05.387] [CLIENT] 收到确认报文，确认号：1760，服务器时间：12-16-04
[2026-06-13 12:16:05.697] [CLIENT] 超时事件发生，开始重传
[2026-06-13 12:16:05.711] [CLIENT] 重传第23个数据包，字节范围：1760~1839
[2026-06-13 12:16:05.721] [CLIENT] 重传第24个数据包，字节范围：1840~1919
[2026-06-13 12:16:05.723] [CLIENT] 重传第25个数据包，字节范围：1920~1999
[2026-06-13 12:16:05.725] [CLIENT] 重传第26个数据包，字节范围：2000~2079
[2026-06-13 12:16:05.725] [CLIENT] 重传第27个数据包，字节范围：2080~2159
[2026-06-13 12:16:05.726] [CLIENT] 收到确认报文，确认号：1840，服务器时间：12-16-04
[2026-06-13 12:16:05.727] [CLIENT] 确认第23个数据包，RTT=27.88ms
[2026-06-13 12:16:05.727] [CLIENT] 窗口滑动，新的窗口起始位置：1840
[2026-06-13 12:16:05.728] [CLIENT] 发送第28个数据包，字节范围：2160~2239
[2026-06-13 12:16:05.728] [CLIENT] 收到确认报文，确认号：1920，服务器时间：12-16-04
[2026-06-13 12:16:05.729] [CLIENT] 确认第24个数据包，RTT=16.24ms
[2026-06-13 12:16:05.729] [CLIENT] 窗口滑动，新的窗口起始位置：1920
[2026-06-13 12:16:05.730] [CLIENT] 发送第29个数据包，字节范围：2240~2319
[2026-06-13 12:16:05.731] [CLIENT] 收到确认报文，确认号：2000，服务器时间：12-16-04
[2026-06-13 12:16:05.731] [CLIENT] 确认第25个数据包，RTT=9.07ms
[2026-06-13 12:16:05.732] [CLIENT] 窗口滑动，新的窗口起始位置：2000
[2026-06-13 12:16:05.733] [CLIENT] 发送第30个数据包，字节范围：2320~2399
[2026-06-13 12:16:05.733] [CLIENT] 收到确认报文，确认号：2080，服务器时间：12-16-04
[2026-06-13 12:16:05.734] [CLIENT] 确认第26个数据包，RTT=8.93ms
[2026-06-13 12:16:05.734] [CLIENT] 窗口滑动，新的窗口起始位置：2080
[2026-06-13 12:16:05.735] [CLIENT] 收到确认报文，确认号：2080，服务器时间：12-16-04
[2026-06-13 12:16:05.736] [CLIENT] 收到确认报文，确认号：2080，服务器时间：12-16-04
[2026-06-13 12:16:05.736] [CLIENT] 收到确认报文，确认号：2080，服务器时间：12-16-04
[2026-06-13 12:16:06.046] [CLIENT] 超时事件发生，开始重传
[2026-06-13 12:16:06.047] [CLIENT] 重传第27个数据包，字节范围：2080~2159
[2026-06-13 12:16:06.048] [CLIENT] 重传第28个数据包，字节范围：2160~2239
[2026-06-13 12:16:06.049] [CLIENT] 重传第29个数据包，字节范围：2240~2319
[2026-06-13 12:16:06.049] [CLIENT] 重传第30个数据包，字节范围：2320~2399
[2026-06-13 12:16:06.050] [CLIENT] 收到确认报文，确认号：2160，服务器时间：12-16-04
[2026-06-13 12:16:06.050] [CLIENT] 确认第27个数据包，RTT=2.95ms
[2026-06-13 12:16:06.051] [CLIENT] 窗口滑动，新的窗口起始位置：2160
[2026-06-13 12:16:06.052] [CLIENT] 收到确认报文，确认号：2240，服务器时间：12-16-04
[2026-06-13 12:16:06.052] [CLIENT] 确认第28个数据包，RTT=4.12ms
[2026-06-13 12:16:06.053] [CLIENT] 窗口滑动，新的窗口起始位置：2240
[2026-06-13 12:16:06.053] [CLIENT] 收到确认报文，确认号：2320，服务器时间：12-16-04
[2026-06-13 12:16:06.054] [CLIENT] 确认第29个数据包，RTT=4.91ms
[2026-06-13 12:16:06.054] [CLIENT] 窗口滑动，新的窗口起始位置：2320
[2026-06-13 12:16:06.360] [CLIENT] 超时事件发生，开始重传
[2026-06-13 12:16:06.362] [CLIENT] 重传第30个数据包，字节范围：2320~2399
[2026-06-13 12:16:06.364] [CLIENT] 收到确认报文，确认号：2400，服务器时间：12-16-05
[2026-06-13 12:16:06.365] [CLIENT] 确认第30个数据包，RTT=2.46ms
[2026-06-13 12:16:06.365] [CLIENT] 窗口滑动，新的窗口起始位置：2400
[2026-06-13 12:16:06.367] [CLIENT] 数据传输完成，发送断开连接请求
[2026-06-13 12:16:06.369] [CLIENT] 连接已断开
[2026-06-13 12:16:06.370] [CLIENT] 传输统计：丢包率=60.00%, 最大RTT=49.78ms, 最小RTT=2.46ms, 平均RTT=11.21ms, RTT标准差=9.57ms
